Attributes,Close,High,Low,Open,Volume
Symbols,TREX.US,TREX.US,TREX.US,TREX.US,TREX.US
Date,,,,,
2022-06-06,65.42,66.68,64.03,65.28,723796
2022-06-07,66.09,66.77,63.59,64.53,776281
2022-06-08,64.62,66.5499,64.06,65.72,654922
2022-06-09,64.16,65.925,63.79,64.0,891983
2022-06-10,59.51,62.53,58.9,62.53,1082931
2022-06-13,55.53,58.68,54.84,57.25,1485464
2022-06-14,55.98,57.18,55.0,55.73,1055936
2022-06-15,55.0,57.995,52.97,56.62,2309103
2022-06-16,50.07,52.855,49.31,52.76,1702916
2022-06-17,51.45,52.42,49.77,50.14,2233501
2022-06-21,51.38,53.34,50.38,52.58,1065869
2022-06-22,52.68,53.4,50.07,50.07,1181360
2022-06-23,56.73,56.89,52.26,52.62,1392691
2022-06-24,58.53,60.19,56.66,56.92,1852847
2022-06-27,57.39,59.0,57.1,58.53,814830
2022-06-28,56.5,58.5,56.43,57.19,934527
2022-06-29,55.85,56.63,54.96,56.63,981096
2022-06-30,54.42,55.72,52.84,55.0,1298539
2022-07-01,56.3,57.06,54.5,54.63,885806
2022-07-05,56.12,56.46,54.52,55.19,1154088
2022-07-06,56.44,56.98,54.75,56.37,1139736
2022-07-07,58.51,58.75,56.19,56.19,596022
2022-07-08,57.58,58.7055,56.85,58.15,589240
2022-07-11,56.04,57.375,55.83,57.11,931702
2022-07-12,56.65,57.87,55.96,56.26,942683
2022-07-13,56.9,57.83,54.36,55.0,727556
2022-07-14,55.35,56.18,54.42,55.43,1022091
2022-07-15,55.75,57.26,55.25,55.74,979950
2022-07-18,56.47,59.225,56.13,56.68,959210
2022-07-19,59.94,60.01,56.88,57.48,884539
2022-07-20,61.51,62.0,58.92,60.0,1087322
2022-07-21,62.33,63.18,60.83,61.06,832136
2022-07-22,61.7,63.11,60.7,62.12,815227
2022-07-25,60.07,61.599,59.38,61.54,803318
2022-07-26,59.74,61.14,59.155,59.65,880218
2022-07-27,60.73,60.85,58.93,60.47,1036083
2022-07-28,62.73,62.81,59.3,60.1,1072102
2022-07-29,64.52,64.88,62.715,63.26,753995
2022-08-01,65.27,65.9,63.675,63.81,750709
2022-08-02,64.07,65.05,63.815,64.34,676679
2022-08-03,63.58,65.15,62.22,64.55,888009
2022-08-04,63.0,63.56,60.12,60.98,1416379
2022-08-05,64.61,64.69,61.0,61.8,1384690
2022-08-08,63.83,66.6522,63.74,65.41,1568228
2022-08-09,54.28,56.99,53.78,55.71,5987941
2022-08-10,57.38,57.38,55.27,55.27,3665825
2022-08-11,57.18,60.75,57.13,57.7,1576109
2022-08-12,58.98,59.01,56.77,57.31,870409
2022-08-15,57.58,59.0894,57.11,58.67,789454
2022-08-16,56.87,57.98,55.72,57.01,953445
2022-08-17,53.6,55.83,53.55,55.83,1482496
2022-08-18,54.42,55.06,53.44,54.24,965489
2022-08-19,51.84,54.19,51.55,53.87,937543
2022-08-22,50.06,51.5,49.83,50.7,1009953
2022-08-23,48.79,50.3919,48.18,50.01,1123326
2022-08-24,49.32,49.82,48.08,48.63,809297
2022-08-25,50.33,51.0,49.05,49.93,706238
2022-08-26,47.74,50.73,47.37,50.04,1183876
2022-08-29,47.22,48.1845,47.02,47.14,951090
2022-08-30,47.43,48.88,46.775,48.0,1019752
2022-08-31,46.79,48.0002,46.56,47.67,1201834
2022-09-01,46.65,46.75,45.38,46.29,1069354
2022-09-02,46.38,47.7,45.99,47.65,1121216
2022-09-06,45.54,46.61,44.49,46.17,1447906
2022-09-07,47.06,47.235,45.36,45.99,1225583
2022-09-08,48.23,48.26,45.845,46.45,1422408
2022-09-09,49.73,50.4828,48.6,48.75,1039176
2022-09-12,50.69,52.59,50.18,50.18,1248420
2022-09-13,47.08,48.22,46.91,47.94,1020749
2022-09-14,46.08,47.28,45.1511,47.28,1283850
2022-09-15,45.99,47.66,45.52,45.64,813459
2022-09-16,46.98,47.14,44.76,45.24,2220961
2022-09-19,47.75,47.99,46.69,46.75,883502
2022-09-20,46.85,47.05,45.97,46.73,845103
2022-09-21,46.32,48.73,46.31,47.33,860447
2022-09-22,45.41,46.05,44.86,45.88,827285
2022-09-23,45.42,45.43,44.4,44.86,1142693
2022-09-26,42.97,46.2,42.92,45.35,1043119
2022-09-27,44.12,44.16,42.81,43.77,994663
2022-09-28,46.6,46.81,44.46,44.62,903673
2022-09-29,44.41,45.68,43.97,45.41,969659
2022-09-30,43.94,45.185,43.63,44.44,974272
2022-10-03,46.28,46.67,44.12,44.42,1106869
2022-10-04,49.14,49.32,47.33,47.75,1318739
2022-10-05,48.48,49.44,47.25,47.9,1273774
2022-10-06,51.3,52.08,47.81,48.02,1975571
2022-10-07,49.54,50.2806,48.37,50.18,1339718
2022-10-10,50.32,50.77,49.5,49.72,893395
2022-10-11,49.95,50.59,48.99,49.74,1192580
2022-10-12,48.98,50.51,48.5981,49.99,952549
2022-10-13,49.13,50.16,44.58,47.13,1446913
2022-10-14,45.22,48.24,45.0,47.45,1411358
2022-10-17,45.65,47.17,44.97,46.55,1326391
2022-10-18,47.78,48.07,45.4,47.13,2980099
2022-10-19,43.14,47.06,42.81,47.01,1864156
2022-10-20,43.03,45.25,42.7052,43.34,1857466
2022-10-21,44.02,44.49,42.6,42.91,1094113
2022-10-24,45.07,45.49,43.75,44.28,1190177
2022-10-25,47.01,47.22,45.5,45.64,1265893
2022-10-26,46.83,48.18,45.96,46.175,1098423
2022-10-27,47.34,48.3,46.27,47.22,1144426
2022-10-28,49.34,49.54,46.705,46.89,1199024
2022-10-31,48.09,49.03,47.94,48.81,1887048
2022-11-01,44.09,47.975,43.77,45.71,3707157
2022-11-02,40.39,44.52,40.22,43.58,2018635
2022-11-03,39.98,40.98,38.68,39.71,1444946
2022-11-04,42.3,42.57,40.015,40.76,2356761
2022-11-07,43.86,44.05,41.93,42.68,1249047
2022-11-08,45.02,46.245,43.61,44.42,1281107
2022-11-09,43.49,45.17,43.26,44.38,1226781
2022-11-10,48.1,50.15,46.54,47.1,2964700
2022-11-11,49.26,50.59,47.55,48.07,2301582
